measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Canada,Both,30 to 34,Diabetes mellitus,Number,2017,1135.3721623477336,1402.6023625633252,930.3437442757539
YLLs (Years of Life Lost),Canada,Male,35 to 39,Diabetes mellitus,Number,2017,1075.5210310830153,1358.3097782246755,839.8590714440771
YLLs (Years of Life Lost),Canada,Female,35 to 39,Diabetes mellitus,Number,2017,514.8114344014847,685.3477945827085,387.18048199857765
YLLs (Years of Life Lost),Canada,Both,35 to 39,Diabetes mellitus,Number,2017,1590.3324654845005,1924.548123813315,1319.6015042056588
YLLs (Years of Life Lost),Canada,Male,40 to 44,Diabetes mellitus,Number,2017,1670.8136241575955,2154.452254709588,1267.9748810707022
YLLs (Years of Life Lost),Canada,Female,40 to 44,Diabetes mellitus,Number,2017,780.6610436175242,1000.433346858087,605.3302001515909
YLLs (Years of Life Lost),Canada,Both,40 to 44,Diabetes mellitus,Number,2017,2451.4746677751186,2988.5126842227446,2010.5458177894188
YLLs (Years of Life Lost),Canada,Male,45 to 49,Diabetes mellitus,Number,2017,2726.538311999768,3415.3980920628983,2132.832267829076
YLLs (Years of Life Lost),Canada,Female,45 to 49,Diabetes mellitus,Number,2017,1309.4829088834808,1695.2602712749406,979.8266031091766
YLLs (Years of Life Lost),Canada,Both,45 to 49,Diabetes mellitus,Number,2017,4036.021220883243,4760.285956398471,3351.8978817871216
YLLs (Years of Life Lost),Canada,Male,50 to 54,Diabetes mellitus,Number,2017,4692.080519974779,5880.251063150237,3681.5398927661813
YLLs (Years of Life Lost),Canada,Female,50 to 54,Diabetes mellitus,Number,2017,2182.8905400226013,2811.938090083926,1677.682078403994
YLLs (Years of Life Lost),Canada,Both,50 to 54,Diabetes mellitus,Number,2017,6874.971059997377,8362.729065175205,5689.978370126563
YLLs (Years of Life Lost),Canada,Male,55 to 59,Diabetes mellitus,Number,2017,7202.335773546961,9093.649266211327,5664.30212541015
YLLs (Years of Life Lost),Canada,Female,55 to 59,Diabetes mellitus,Number,2017,3206.3399477121,4141.864463600317,2426.4487246943168
YLLs (Years of Life Lost),Canada,Both,55 to 59,Diabetes mellitus,Number,2017,10408.675721259073,12517.546002604218,8608.521699978317
YLLs (Years of Life Lost),Canada,Male,60 to 64,Diabetes mellitus,Number,2017,8700.513370155259,11228.82573382774,6789.683508496033
YLLs (Years of Life Lost),Canada,Female,60 to 64,Diabetes mellitus,Number,2017,4342.188609807674,5507.058736185852,3334.6211736995597
YLLs (Years of Life Lost),Canada,Both,60 to 64,Diabetes mellitus,Number,2017,13042.70197996294,15685.570173079806,10777.582528604964
YLLs (Years of Life Lost),Canada,Male,65 to 69,Diabetes mellitus,Number,2017,9131.114862850136,11453.889650927165,7122.808037585422
YLLs (Years of Life Lost),Canada,Female,65 to 69,Diabetes mellitus,Number,2017,5545.6109257891285,7128.4117850815965,4322.52835672309
YLLs (Years of Life Lost),Canada,Both,65 to 69,Diabetes mellitus,Number,2017,14676.725788639249,17373.338624393404,12090.776781048593
YLLs (Years of Life Lost),Canada,Male,70 to 74,Diabetes mellitus,Number,2017,8804.005639851432,11062.894370745329,7017.942995229696
YLLs (Years of Life Lost),Canada,Female,70 to 74,Diabetes mellitus,Number,2017,5384.930818242888,6855.181791144424,4184.10260180246
YLLs (Years of Life Lost),Canada,Both,70 to 74,Diabetes mellitus,Number,2017,14188.93645809431,16715.477210576806,11992.316912751065
YLLs (Years of Life Lost),Canada,Male,75 to 79,Diabetes mellitus,Number,2017,7455.454995268578,9267.08361160906,5895.07232904133
YLLs (Years of Life Lost),Canada,Female,75 to 79,Diabetes mellitus,Number,2017,5100.007892494959,6545.647474341698,4028.876779655637
YLLs (Years of Life Lost),Canada,Both,75 to 79,Diabetes mellitus,Number,2017,12555.462887763544,14783.803381124153,10565.822361386827
YLLs (Years of Life Lost),Canada,Male,80 plus,Diabetes mellitus,Number,2017,11437.048263543022,13223.500243537119,9883.365659138592
YLLs (Years of Life Lost),Canada,Female,80 plus,Diabetes mellitus,Number,2017,12696.928034357992,14680.857733091594,11026.92898404098
YLLs (Years of Life Lost),Canada,Both,80 plus,Diabetes mellitus,Number,2017,24133.97629790104,26580.547061079087,21805.44254181335
YLLs (Years of Life Lost),Canada,Male,1 to 4,"Endocrine, metabolic, blood, and immune disorders",Number,2017,814.3123239063606,1172.3285191741902,459.59700287078397
YLLs (Years of Life Lost),Canada,Female,1 to 4,"Endocrine, metabolic, blood, and immune disorders",Number,2017,681.551684890394,1041.3850586708522,377.28253398783903
YLLs (Years of Life Lost),Canada,Both,1 to 4,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1495.8640087967515,2044.0863505063942,953.2043375787184
YLLs (Years of Life Lost),Canada,Male,5 to 9,"Endocrine, metabolic, blood, and immune disorders",Number,2017,406.09806536362464,597.1845515793171,263.32096337153166
YLLs (Years of Life Lost),Canada,Female,5 to 9,"Endocrine, metabolic, blood, and immune disorders",Number,2017,380.89845612022424,558.7420897310583,242.36496299250987
YLLs (Years of Life Lost),Canada,Both,5 to 9,"Endocrine, metabolic, blood, and immune disorders",Number,2017,786.9965214838495,1026.3242773849806,570.6997461174749
YLLs (Years of Life Lost),Canada,Male,10 to 14,"Endocrine, metabolic, blood, and immune disorders",Number,2017,440.70848943856197,628.5584891207527,290.4856758064919
YLLs (Years of Life Lost),Canada,Female,10 to 14,"Endocrine, metabolic, blood, and immune disorders",Number,2017,352.09251612124206,519.3816092157161,218.6112290808631
YLLs (Years of Life Lost),Canada,Both,10 to 14,"Endocrine, metabolic, blood, and immune disorders",Number,2017,792.801005559803,1037.6584017123243,581.1068510782678
YLLs (Years of Life Lost),Canada,Male,15 to 19,"Endocrine, metabolic, blood, and immune disorders",Number,2017,468.85194814681694,718.546901388723,313.94705467159116
YLLs (Years of Life Lost),Canada,Female,15 to 19,"Endocrine, metabolic, blood, and immune disorders",Number,2017,533.8135658276551,802.9372123452874,315.71893335861245
YLLs (Years of Life Lost),Canada,Both,15 to 19,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1002.6655139744734,1335.9578964964762,726.0921884541041
YLLs (Years of Life Lost),Canada,Male,20 to 24,"Endocrine, metabolic, blood, and immune disorders",Number,2017,534.3257226772836,867.7208654616552,361.7669427917358
YLLs (Years of Life Lost),Canada,Female,20 to 24,"Endocrine, metabolic, blood, and immune disorders",Number,2017,548.8708740297986,821.917793092079,360.38015439338886
YLLs (Years of Life Lost),Canada,Both,20 to 24,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1083.1965967070817,1480.541519297228,814.212574193039
YLLs (Years of Life Lost),Canada,Male,25 to 29,"Endocrine, metabolic, blood, and immune disorders",Number,2017,734.8120399060545,1127.4937401805962,480.5194343444124
YLLs (Years of Life Lost),Canada,Female,25 to 29,"Endocrine, metabolic, blood, and immune disorders",Number,2017,613.7705958010233,866.3229751832371,395.38613602164116
YLLs (Years of Life Lost),Canada,Both,25 to 29,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1348.5826357070807,1786.9981133174006,993.7551692281093
YLLs (Years of Life Lost),Canada,Male,30 to 34,"Endocrine, metabolic, blood, and immune disorders",Number,2017,781.4491112520602,1180.4596655911619,518.2267250198408
YLLs (Years of Life Lost),Canada,Female,30 to 34,"Endocrine, metabolic, blood, and immune disorders",Number,2017,663.6023159694179,985.4001926068978,434.23179459982066
YLLs (Years of Life Lost),Canada,Both,30 to 34,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1445.0514272214778,2007.8336990239657,1076.888426391138
YLLs (Years of Life Lost),Canada,Male,35 to 39,"Endocrine, metabolic, blood, and immune disorders",Number,2017,938.1894886794662,1384.4467223651334,637.3392955499453
YLLs (Years of Life Lost),Canada,Female,35 to 39,"Endocrine, metabolic, blood, and immune disorders",Number,2017,620.7868118604533,1045.032577094378,400.00086839007656
YLLs (Years of Life Lost),Canada,Both,35 to 39,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1558.9763005399188,2181.562200113805,1192.7626724734816
YLLs (Years of Life Lost),Canada,Male,40 to 44,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1106.2810617486193,1698.8732337973154,779.9634674294316
YLLs (Years of Life Lost),Canada,Female,40 to 44,"Endocrine, metabolic, blood, and immune disorders",Number,2017,768.2061576623294,1218.4588521195105,521.7835241009877
YLLs (Years of Life Lost),Canada,Both,40 to 44,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1874.4872194109519,2631.8024639899013,1426.545218436008
YLLs (Years of Life Lost),Canada,Male,45 to 49,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1546.214694015879,2268.614366872026,1075.4519263766065
YLLs (Years of Life Lost),Canada,Female,45 to 49,"Endocrine, metabolic, blood, and immune disorders",Number,2017,968.6097386384495,1559.8607451399926,667.7407010051434
YLLs (Years of Life Lost),Canada,Both,45 to 49,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2514.8244326543254,3470.7337791266896,1929.606841065769
YLLs (Years of Life Lost),Canada,Male,50 to 54,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2324.766300486991,3371.506694287573,1690.567534187081
YLLs (Years of Life Lost),Canada,Female,50 to 54,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1321.8626228426574,2061.5420013297066,917.6440145673217
YLLs (Years of Life Lost),Canada,Both,50 to 54,"Endocrine, metabolic, blood, and immune disorders",Number,2017,3646.62892332965,4873.719503473309,2864.609268146029
YLLs (Years of Life Lost),Canada,Male,55 to 59,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2875.969592705994,3813.765251083849,2031.2259853028545
YLLs (Years of Life Lost),Canada,Female,55 to 59,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1571.176791627173,2382.39887370448,1080.0801406904754
YLLs (Years of Life Lost),Canada,Both,55 to 59,"Endocrine, metabolic, blood, and immune disorders",Number,2017,4447.14638433317,5620.515136799551,3495.5169713502078
YLLs (Years of Life Lost),Canada,Male,60 to 64,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2725.371239898033,3691.8793955306423,1926.381851395249
YLLs (Years of Life Lost),Canada,Female,60 to 64,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1781.1645740186866,2501.6683621529774,1199.3595988491863
YLLs (Years of Life Lost),Canada,Both,60 to 64,"Endocrine, metabolic, blood, and immune disorders",Number,2017,4506.535813916712,5735.038104302431,3390.4323643209023
YLLs (Years of Life Lost),Canada,Male,65 to 69,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2786.2956360546573,3862.9508535443265,1923.6108220676488
YLLs (Years of Life Lost),Canada,Female,65 to 69,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1847.1945403526577,2531.922820318043,1152.687827142039
YLLs (Years of Life Lost),Canada,Both,65 to 69,"Endocrine, metabolic, blood, and immune disorders",Number,2017,4633.490176407322,5966.7298630460955,3344.962586587253
YLLs (Years of Life Lost),Canada,Male,70 to 74,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2197.066083090174,2915.401089150107,1531.9752772417623
YLLs (Years of Life Lost),Canada,Female,70 to 74,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1649.2777330177614,2288.8379840316,1020.8986962120134
YLLs (Years of Life Lost),Canada,Both,70 to 74,"Endocrine, metabolic, blood, and immune disorders",Number,2017,3846.343816107938,4795.809047565647,2883.610699739174
YLLs (Years of Life Lost),Canada,Male,75 to 79,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1723.2328501666643,2388.513275089328,1103.417950593488
YLLs (Years of Life Lost),Canada,Female,75 to 79,"Endocrine, metabolic, blood, and immune disorders",Number,2017,1360.5048486300618,1950.8686543830445,771.7145802684238
YLLs (Years of Life Lost),Canada,Both,75 to 79,"Endocrine, metabolic, blood, and immune disorders",Number,2017,3083.7376987967364,3909.1545603553227,2109.0311800678132
YLLs (Years of Life Lost),Canada,Male,80 plus,"Endocrine, metabolic, blood, and immune disorders",Number,2017,2496.068348321018,3072.2839758506148,1660.7063277304899
YLLs (Years of Life Lost),Canada,Female,80 plus,"Endocrine, metabolic, blood, and immune disorders",Number,2017,3077.279557449963,4196.202973674699,1376.8858154212605
YLLs (Years of Life Lost),Canada,Both,80 plus,"Endocrine, metabolic, blood, and immune disorders",Number,2017,5573.3479057709865,6839.8152002493825,3471.1651690222498
YLLs (Years of Life Lost),Canada,Male,1 to 4,Asthma,Number,2017,22.418881062156963,36.353419189101814,13.057575380418708
YLLs (Years of Life Lost),Canada,Female,1 to 4,Asthma,Number,2017,28.500750734963237,46.58052227947284,15.498081131708796
YLLs (Years of Life Lost),Canada,Both,1 to 4,Asthma,Number,2017,50.91963179712023,72.46099170256171,33.00826449859627
YLLs (Years of Life Lost),Canada,Male,5 to 9,Asthma,Number,2017,30.933830502329407,46.17704891837148,19.291797563868627
YLLs (Years of Life Lost),Canada,Female,5 to 9,Asthma,Number,2017,35.92112891263225,55.964273794377505,20.804540689818957
YLLs (Years of Life Lost),Canada,Both,5 to 9,Asthma,Number,2017,66.85495941496163,91.9698708685063,45.774159030758696
YLLs (Years of Life Lost),Canada,Male,10 to 14,Asthma,Number,2017,86.51738256388153,127.1955404402448,53.581705618494844
YLLs (Years of Life Lost),Canada,Female,10 to 14,Asthma,Number,2017,80.37881028783227,121.17408739171972,49.59922214258889
YLLs (Years of Life Lost),Canada,Both,10 to 14,Asthma,Number,2017,166.89619285171352,225.26552044428354,118.77917924945346
YLLs (Years of Life Lost),Canada,Male,15 to 19,Asthma,Number,2017,92.91712317802775,130.42108260964477,62.442044034050085
YLLs (Years of Life Lost),Canada,Female,15 to 19,Asthma,Number,2017,93.8747828733765,138.60746270998584,60.7566956793643
YLLs (Years of Life Lost),Canada,Both,15 to 19,Asthma,Number,2017,186.7919060514043,245.2924935079056,138.56268858962974
YLLs (Years of Life Lost),Canada,Male,20 to 24,Asthma,Number,2017,103.231981838358,149.79131740214282,67.30262876051692
YLLs (Years of Life Lost),Canada,Female,20 to 24,Asthma,Number,2017,117.82548941908215,171.24014534529437,78.85699563819432
YLLs (Years of Life Lost),Canada,Both,20 to 24,Asthma,Number,2017,221.05747125744023,285.5664774802014,166.82809943539678
YLLs (Years of Life Lost),Canada,Male,25 to 29,Asthma,Number,2017,109.01095247991776,155.9673226830281,70.80975842987196
YLLs (Years of Life Lost),Canada,Female,25 to 29,Asthma,Number,2017,122.60489410548564,175.78534876105755,81.18211932732993
YLLs (Years of Life Lost),Canada,Both,25 to 29,Asthma,Number,2017,231.61584658540346,302.38921263698506,171.81115945335935
YLLs (Years of Life Lost),Canada,Male,30 to 34,Asthma,Number,2017,74.14085124410069,116.25846629479278,44.35946197851615
YLLs (Years of Life Lost),Canada,Female,30 to 34,Asthma,Number,2017,97.8127063537547,151.53836800259953,59.318952162146495
YLLs (Years of Life Lost),Canada,Both,30 to 34,Asthma,Number,2017,171.9535575978553,236.56234411508908,120.02463217207676
YLLs (Years of Life Lost),Canada,Male,35 to 39,Asthma,Number,2017,75.08531428606761,115.56413606926931,44.10705050168426
YLLs (Years of Life Lost),Canada,Female,35 to 39,Asthma,Number,2017,99.628598758584,146.14808652343226,62.88639585842299
YLLs (Years of Life Lost),Canada,Both,35 to 39,Asthma,Number,2017,174.71391304465175,236.93333118864757,122.36761240955462
YLLs (Years of Life Lost),Canada,Male,40 to 44,Asthma,Number,2017,71.73721394290517,108.83687618629807,43.63404397001203
YLLs (Years of Life Lost),Canada,Female,40 to 44,Asthma,Number,2017,119.69300217215596,173.91762168706538,75.6117734408195
YLLs (Years of Life Lost),Canada,Both,40 to 44,Asthma,Number,2017,191.4302161150609,256.7412763583623,138.47966853881272
YLLs (Years of Life Lost),Canada,Male,45 to 49,Asthma,Number,2017,107.11834723632266,153.58967452469045,70.26917384957491
YLLs (Years of Life Lost),Canada,Female,45 to 49,Asthma,Number,2017,187.55707921120162,268.7876114698004,124.8006580471593
YLLs (Years of Life Lost),Canada,Both,45 to 49,Asthma,Number,2017,294.6754264475241,386.4567033572828,217.03479244722107
YLLs (Years of Life Lost),Canada,Male,50 to 54,Asthma,Number,2017,137.18499064430324,206.3854450746277,85.9779108549378
YLLs (Years of Life Lost),Canada,Female,50 to 54,Asthma,Number,2017,251.35794370849237,352.64973520479884,165.61328137404
YLLs (Years of Life Lost),Canada,Both,50 to 54,Asthma,Number,2017,388.5429343527954,505.229739122405,290.4155034565769
YLLs (Years of Life Lost),Canada,Male,55 to 59,Asthma,Number,2017,157.75610124860435,240.09065344291898,98.14003211132321
YLLs (Years of Life Lost),Canada,Female,55 to 59,Asthma,Number,2017,265.15655320115343,383.4450660529106,166.62877503475877
YLLs (Years of Life Lost),Canada,Both,55 to 59,Asthma,Number,2017,422.9126544497577,568.6784688938922,308.09603108449517
YLLs (Years of Life Lost),Canada,Male,60 to 64,Asthma,Number,2017,163.06459864627305,244.05674251629276,104.24681163934682
YLLs (Years of Life Lost),Canada,Female,60 to 64,Asthma,Number,2017,267.9043498101663,391.89559907022374,176.73465100508943
YLLs (Years of Life Lost),Canada,Both,60 to 64,Asthma,Number,2017,430.96894845643925,569.222108716714,318.7443738527119
YLLs (Years of Life Lost),Canada,Male,65 to 69,Asthma,Number,2017,141.80532372219795,205.7953925316655,95.44403896899371
YLLs (Years of Life Lost),Canada,Female,65 to 69,Asthma,Number,2017,240.44516776873047,349.69258855759574,158.38305234985077
YLLs (Years of Life Lost),Canada,Both,65 to 69,Asthma,Number,2017,382.2504914909287,504.9232474930761,284.9495804778771
YLLs (Years of Life Lost),Canada,Male,70 to 74,Asthma,Number,2017,145.84581906611743,210.3866908464836,91.88783074859393
YLLs (Years of Life Lost),Canada,Female,70 to 74,Asthma,Number,2017,230.82524014087488,335.091094067654,154.14002397632922
YLLs (Years of Life Lost),Canada,Both,70 to 74,Asthma,Number,2017,376.6710592069924,505.7093477137743,277.6577207646396
YLLs (Years of Life Lost),Canada,Male,75 to 79,Asthma,Number,2017,122.7431897521902,178.66415002802447,79.23149726420046
YLLs (Years of Life Lost),Canada,Female,75 to 79,Asthma,Number,2017,226.32944138112995,324.74407423488,154.7899837156588
YLLs (Years of Life Lost),Canada,Both,75 to 79,Asthma,Number,2017,349.0726311333203,456.2487668423694,254.31093764484464
YLLs (Years of Life Lost),Canada,Male,80 plus,Asthma,Number,2017,271.2051809699381,346.2137234396493,210.95513733794343
YLLs (Years of Life Lost),Canada,Female,80 plus,Asthma,Number,2017,673.708175933493,826.5355602088026,541.4570769798653
YLLs (Years of Life Lost),Canada,Both,80 plus,Asthma,Number,2017,944.9133569034303,1116.4935245288596,796.111105808256
YLLs (Years of Life Lost),Canada,Male,1 to 4,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,58.31761716437447,92.18881030349203,36.630925272445666
YLLs (Years of Life Lost),Canada,Female,1 to 4,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,38.90290753336952,67.76985351092866,21.462098592144578
YLLs (Years of Life Lost),Canada,Both,1 to 4,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,97.22052469774395,140.70466722020927,65.19047151696735
YLLs (Years of Life Lost),Canada,Male,5 to 9,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,27.83194232336375,41.93812033210878,16.646186086992795
YLLs (Years of Life Lost),Canada,Female,5 to 9,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,26.638238937200004,44.7605124640666,12.582219325238817
YLLs (Years of Life Lost),Canada,Both,5 to 9,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,54.470181260563734,76.97109050256049,35.47139944064847
YLLs (Years of Life Lost),Canada,Male,10 to 14,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,36.61902436803616,58.58334084503262,21.13605012924018
YLLs (Years of Life Lost),Canada,Female,10 to 14,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,27.17557810586153,45.19370587921685,13.003403373276223
YLLs (Years of Life Lost),Canada,Both,10 to 14,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,63.7946024738977,92.5048730145485,40.7307604475184
YLLs (Years of Life Lost),Canada,Male,15 to 19,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,39.88681001976363,64.66441069776253,21.852596113703648
YLLs (Years of Life Lost),Canada,Female,15 to 19,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,48.7353972309408,79.95056938635598,24.17915627165135
YLLs (Years of Life Lost),Canada,Both,15 to 19,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,88.6222072507043,125.21025384948503,58.958192620195426
YLLs (Years of Life Lost),Canada,Male,20 to 24,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,58.0928923790813,89.2993849046274,34.61695587788854
YLLs (Years of Life Lost),Canada,Female,20 to 24,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,63.93201227598731,100.02211113335854,34.013559990870185
YLLs (Years of Life Lost),Canada,Both,20 to 24,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,122.02490465506862,168.24350221467267,85.74554860754408
YLLs (Years of Life Lost),Canada,Male,25 to 29,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,93.01148779697955,140.7484203577693,56.1175289615778
YLLs (Years of Life Lost),Canada,Female,25 to 29,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,72.8696794731,113.21241410945687,44.21052382692614
YLLs (Years of Life Lost),Canada,Both,25 to 29,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,165.88116727007966,231.15271062037797,113.39662146110922
YLLs (Years of Life Lost),Canada,Male,30 to 34,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,140.112946772314,206.5921007135904,85.07677014163096
YLLs (Years of Life Lost),Canada,Female,30 to 34,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,107.53537014285618,174.10973100243888,65.88735350446704
YLLs (Years of Life Lost),Canada,Both,30 to 34,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,247.64831691517028,349.7761741988827,176.0776562758324
YLLs (Years of Life Lost),Canada,Male,35 to 39,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,158.80778577299034,255.43897133972757,88.35829709558935
YLLs (Years of Life Lost),Canada,Female,35 to 39,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,151.03625554560372,241.7222565934747,90.38903998687144
YLLs (Years of Life Lost),Canada,Both,35 to 39,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,309.8440413185942,458.55577295365356,209.12130428718805
YLLs (Years of Life Lost),Canada,Male,40 to 44,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,248.8242049173181,375.67156895823695,155.84523758859828
YLLs (Years of Life Lost),Canada,Female,40 to 44,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,217.08456651534513,350.62390776410126,135.1815425280859
YLLs (Years of Life Lost),Canada,Both,40 to 44,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,465.9087714326631,648.9466845623077,331.2419641020378
YLLs (Years of Life Lost),Canada,Male,45 to 49,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,457.483849135761,639.8373357785798,321.41490647089825
YLLs (Years of Life Lost),Canada,Female,45 to 49,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,364.58094589358444,538.1851551772327,237.67815899523563
YLLs (Years of Life Lost),Canada,Both,45 to 49,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,822.0647950293447,1068.0793685431388,628.4886745194021
YLLs (Years of Life Lost),Canada,Male,50 to 54,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,854.6028098481879,1182.341731009136,573.4546937572048
YLLs (Years of Life Lost),Canada,Female,50 to 54,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,584.1145431885109,841.3942567949802,380.0240207895204
YLLs (Years of Life Lost),Canada,Both,50 to 54,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1438.717353036697,1847.300950314714,1069.441783326452
YLLs (Years of Life Lost),Canada,Male,55 to 59,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1353.2218611718072,1961.3325775642463,857.6679653738705
YLLs (Years of Life Lost),Canada,Female,55 to 59,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,822.8884595853754,1174.4079393278964,453.8367693557694
YLLs (Years of Life Lost),Canada,Both,55 to 59,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,2176.1103207571823,2853.997270331634,1491.5937575165442
YLLs (Years of Life Lost),Canada,Male,60 to 64,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1949.2942201891774,2837.2694525967277,1140.870511049515
YLLs (Years of Life Lost),Canada,Female,60 to 64,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1107.9174965169293,1637.6905817710751,561.7670768910311
YLLs (Years of Life Lost),Canada,Both,60 to 64,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,3057.211716706106,4174.27638400251,1966.6411763455956
YLLs (Years of Life Lost),Canada,Male,65 to 69,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,2821.3108025485103,4281.710497633965,1577.5470991724685
