"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Severe disfigurement and neurological problems due to adult tertiary syphilis,Level 3 disfigurement and moderate motor plus cognitive impairments,(combined DW),--
Severe disfigurement due to adult tertiary syphilis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.","0.405
(0.275-0.546)"
Mild early syphilis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Neurological problems due to adult tertiary syphilis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Asymptomatic chlamydial infection,--,--,--
Epididymo-orchitis due to chlamydial infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,"0.128
(0.086-0.180)"
Moderate pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Severe pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Mild chlamydial infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Secondary infertility due to chlamydial infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ","0.005
(0.002-0.011)"
Primary infertility due to chlamydial infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Epididymo-orchitis due to gonococcal infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,"0.128
(0.086-0.180)"
Moderate pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Asymptomatic gonococcal infection,--,--,--
Mild gonococcal infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Secondary infertility due to gonococcal infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ","0.005
(0.002-0.011)"
Primary infertility due to gonococcal infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Severe pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Asymptomatic trichomoniasis infection,--,--,--
Acute trichomoniasis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Moderate infection due to initial genital herpes episode,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Asymptomatic genital herpes,--,--,--
Symptomatic genital herpes,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Other sexually transmitted diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Secondary infertility due to other sexually transmitted diseases,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ","0.005
(0.002-0.011)"
Primary infertility due to other sexually transmitted diseases,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Severe pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Moderate pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Latent tuberculosis infection,--,--,--
Drug-susceptible tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.","0.333
(0.224-0.454)"
Multidrug-resistant tuberculosis without extensive drug resistance ,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.","0.333
(0.224-0.454)"
Extensively drug-resistant tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.","0.333
(0.224-0.454)"
Moderate lower respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe lower respiratory infections,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Guillain-Barré syndrome due to lower respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Mild upper respiratory infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Moderate upper respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Guillain-Barré syndrome due to upper respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Moderate hearing loss with ringing due to chronic otitis media,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.","0.074
(0.049-0.107)"
Acute otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,"0.013
(0.007-0.024)"
Vertigo with moderate hearing loss due to chronic otitis media,Vertigo with moderate hearing loss,--,--
Mild hearing loss with ringing due to chronic otitis media,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.","0.021
(0.012-0.036)"
Mild hearing loss due to chronic otitis media,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).","0.010
(0.004-0.019)"
Vertigo with mild hearing loss and ringing due to chronic otitis media,Vertigo with mild hearing loss and ringing,--,--
Vertigo with mild hearing loss due to chronic otitis media,Vertigo with mild hearing loss,--,--
Severe infectious complications due to chronic otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,"0.013
(0.007-0.024)"
Vertigo with moderate hearing loss and ringing due to chronic otitis media,Vertigo with moderate hearing loss and ringing,--,--
Moderate hearing loss due to chronic otitis media,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.","0.027
(0.015-0.042)"
Mild diarrheal diseases,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,"0.074
(0.049-0.104)"
Guillain-Barré syndrome due to diarrheal diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Severe diarrheal diseases,"Diarrhea, severe",has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired. ,"0.247
(0.164-0.348)"
Moderate diarrheal diseases,"Diarrhea, moderate","has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty","0.188
(0.125-0.264)"
Acute typhoid infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe typhoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Intestinal perforation due to typhoid,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Gastrointestinal bleeding due to typhoid,Gastric bleeding,vomits blood and feels nauseous.,"0.325
(0.209-0.462)"
Acute paratyphoid infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Moderate paratyphoid fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe paratyphoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Intestinal perforation due to paratyphoid,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Severe acute iNTS,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Other intestinal infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Mild malaria with severe anemia,"Infectious disease, acute episode, mild, with severe anemia",(combined DW),--
Severe malaria with mild anemia,"Infectious disease, acute episode, severe, with mild anemia",(combined DW),--
Severe malaria with moderate anemia,"Infectious disease, acute episode, severe, with moderate anemia",(combined DW),--
Severe malaria with severe anemia,"Infectious disease, acute episode, severe, with severe anemia",(combined DW),--
Mild malaria with mild anemia,"Infectious disease, acute episode, mild, with mild anemia",(combined DW),--
Mild malaria with moderate anemia,"Infectious disease, acute episode, mild, with moderate anemia",(combined DW),--
Moderate malaria with mild anemia,"Infectious disease, acute episode, moderate, with mild anemia",(combined DW),--
Mild anemia due to malaria parasitemia (PfPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Moderate malaria with severe anemia,"Infectious disease, acute episode, moderate, with severe anemia",(combined DW),--
Mild anemia due to malaria vivax (PvPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Moderate anemia due to malaria vivax (PvPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Severe anemia due to malaria vivax (PvPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Asymptomatic malaria vivax (PvPR),--,--,--
Asymptomatic malaria parasitemia (PfPR),--,--,--
Severe anemia due to malaria parasitemia (PfPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Moderate malaria with moderate anemia,"Infectious disease, acute episode, moderate, with moderate anemia",(combined DW),--
Moderate anemia due to malaria parasitemia (PfPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Moderate motor impairment with blindness due to malaria,Moderate motor impairment with blindness,(combined DW),--
Moderate malaria,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Severe motor plus cognitive impairment with epilepsy due to malaria,Severe motor plus cognitive impairment with epilepsy,(combined DW),--
Severe motor plus cognitive impairment with blindness due to malaria,Severe motor plus cognitive impairment with blindness,(combined DW),--
Severe motor impairment with blindness and epilepsy due to malaria,Severe motor impairment with blindness and epilepsy,(combined DW),--
Mild malaria,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Severe motor impairment with blindness due to malaria ,Severe motor impairment with blindness,(combined DW),--
Severe motor impairment due to malaria,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Severe motor impairment with epilepsy due to malaria,Severe motor impairment with epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with epilepsy due to malaria,Moderate motor plus cognitive impairment with epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with blindness due to malaria,Moderate motor plus cognitive impairment with blindness,(combined DW),--
Moderate motor impairment with blindness and epilepsy due to malaria,Moderate motor impairment with blindness and epilepsy,(combined DW),--
Moderate motor impairment with epilepsy due to malaria,Moderate motor impairment with epilepsy,(combined DW),--
Moderate motor impairment due to malaria,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Severe malaria,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Asymptomatic Chagas disease,--,--,--
Acute Chagas disease,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Atrial fibrillation and flutter due to Chagas disease,Cardiac conduction disorders and cardiac dysrhythmias,has periods of rapid and irregular heartbeats and occasional fainting. ,"0.224
(0.151-0.312)"
Mild chronic digestive disease due to Chagas disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Moderate chronic digestive disease due to Chagas disease,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Moderate heart failure due to Chagas disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.","0.072
(0.047-0.103)"
Severe heart failure due to Chagas disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ","0.179
(0.122-0.251)"
Treated heart failure due to Chagas disease,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,"0.049
(0.031-0.072)"
Mild heart failure due to Chagas disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.","0.041
(0.026-0.062)"
Severe visceral leishmaniasis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate visceral leishmaniasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Cutaneous and mucocutaneous leishmaniasis,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.","0.067
(0.044-0.096)"
Skin disfigurement due to Trypanosoma brucei rhodesiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Sleeping sickness due to Trypanosoma brucei rhodesiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.","0.027
(0.015-0.042)"
Sleeping sickness due to Trypanosoma brucei gambiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Skin disfigurement due to Trypanosoma brucei gambiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.","0.027
(0.015-0.042)"
Severe anemia due to schistosomiasis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Moderate anemia due to schistosomiasis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Bladder pathology due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Hydronephrosis due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Hepatomegaly due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Hematemesis due to schistosomiasis,Gastric bleeding,vomits blood and feels nauseous.,"0.325
(0.209-0.462)"
Ascites due to schistosomiasis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Mild diarrhea due to schistosomiasis,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,"0.074
(0.049-0.104)"
Mild schistosomiasis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Mild anemia due to schistosomiasis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Dysuria due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Neurocysticercosis with epilepsy,Epilepsy,(combined DW),--
Epilepsy due to echinococcosis,Epilepsy,(combined DW),--
Chronic respiratory disease due to cystic echinococcosis,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.","0.019
(0.011-0.033)"
Abdominal problems due to cystic echinococcosis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Hydrocele due to lymphatic filariasis,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,"0.128
(0.086-0.180)"
Prevalence of detectable microfiliaria due to lymphatic filariasis,--,--,--
Lymphedema due to lymphatic filariasis,"Lymphatic filariasis, symptomatic","has swollen legs with hard and thick skin, which causes difficulty in moving around.","0.109
(0.073-0.154)"
Acute adenolymphangitis due to lymphatic filariasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Asymptomatic onchocerciasis,--,--,--
Severe vision impairment due to onchocerciasis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Blindness due to onchocerciasis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Severe skin disease without itch due to onchocerciasis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.","0.405
(0.275-0.546)"
Mild skin disease without itch due to onchocerciasis,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Moderate skin disease due to onchocerciasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.","0.188
(0.125-0.267)"
Mild skin disease due to onchocerciasis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.","0.027
(0.015-0.042)"
Moderate vision impairment due to onchocerciasis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Severe skin disease due to onchocerciasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.","0.188
(0.125-0.267)"
Moderate vision impairment due to trachoma,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Severe vision impairment due to trachoma,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Blindness due to trachoma,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Moderate dengue,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe dengue,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Post-dengue chronic fatigue syndrome,"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia)",is always tired and easily upset. The person feels pain all over the body and is depressed.,"0.219
(0.148-0.308)"
Moderate yellow fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe yellow fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Asymptomatic yellow fever,--,--,--
Rabies,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Heavy infestation of ascariasis,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,"0.027
(0.015-0.043)"
Severe wasting due to ascariasis,Severe wasting,is extremely skinny and has no energy. ,"0.128
(0.082-0.183)"
Asymptomatic ascariasis,--,--,--
Mild abdominopelvic problems due to ascariasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Heavy infestation of trichuriasis,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,"0.027
(0.015-0.043)"
Mild abdominopelvic problems due to trichuriasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Severe wasting due to trichuriasis,Severe wasting,is extremely skinny and has no energy. ,"0.128
(0.082-0.183)"
Asymptomatic trichuriasis,--,--,--
Heavy infestation of hookworm,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,"0.027
(0.015-0.043)"
Mild abdominopelvic problems due to hookworm disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Severe wasting due to hookworm disease,Severe wasting,is extremely skinny and has no energy. ,"0.128
(0.082-0.183)"
Mild anemia due to hookworm disease,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Moderate anemia due to hookworm disease,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Severe anemia due to hookworm disease,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Asymptomatic hookworm disease,--,--,--
Cerebral paragonimiasis,Epilepsy,(combined DW),--
Heavy fascioliasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
